Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-18,65,90.3,60,81.45,116768921
2020-10-25,81.45,89,79.8,89,44995806
2020-11-01,89,98.78,80,80.45,14612760
2020-11-08,81.2,93,81.18,92.13,11033578
2020-11-15,94,95.3,74.7,75.88,17674176
2020-11-22,76.05,79.45,65.3,78.32,15935688
2020-11-29,79.6,81.62,70.7,75,11168573
2020-12-06,75,78.5,74,75.5,9082472
2020-12-13,75.5,79.8,72.6,79.8,7457617
2020-12-20,80,88.59,79.31,86.1,15140847
2020-12-27,86.5,86.99,79.05,85.69,2956098
2021-01-03,85.99,87.35,84.49,84.7,1877292
2021-01-10,84,87.5,78.35,80.59,5471457
2021-01-17,81.75,82.84,75.15,76.75,4507205
2021-01-24,76.9,77.97,72.1,72.7,6069606
2021-01-31,72.3,77.48,67.35,73.5,14865146
2021-02-07,73.8,73.95,69.25,70.31,5745764
2021-02-14,70.24,71.56,65.05,69,7905838
2021-02-21,69.7,71.07,67.5,67.5,10807078
2021-02-28,67,68.09,61.5,64.32,6901389
2021-03-07,65,68.2,62.5,64,13422256
2021-03-14,64.1,66.2,63.03,64.67,5953124
2021-03-21,64.6,64.96,58.1,59.64,34114517
2021-03-28,60,60.1,51.9,52.75,31439106
2021-04-04,53.4,56.7,52.05,56.06,12588870
2021-04-11,57.04,59.03,55.8,58.5,6719070
2021-04-18,58.3,59.44,56.52,57.16,5201630
2021-04-25,57.15,58.31,54.16,56.5,6166002
2021-05-02,56.8,58.45,55.87,58.14,5184260
2021-05-09,57.75,57.83,50.9,54.86,6205819
2021-05-16,55.04,55.86,49.105,52.4,9865481
2021-05-23,53,58.75,52.8,57.46,13291615
2021-05-30,57.46,58.9,56.8,58.5,5954890
2021-06-06,58.7,59.96,57.28,58.77,3516551
2021-06-13,58.4,61.18,58.02,58.3,6883531
2021-06-20,58.54,61.04,57.58,60.05,8328404
2021-06-27,60.18,64.48,57.1,64.2,7594336
2021-07-04,64.2,68.95,62.3,67.68,8748116
2021-07-11,67.7,75.9,67.65,71.55,9804636
2021-07-18,71,74.83,70.83,73.6,4809549
2021-07-25,73.87,74.78,72.2,73.15,4244210
2021-08-01,73.14,73.77,65.71,66.1,6196689
2021-08-08,66.25,68.9,62.5,63.87,6738084
2021-08-15,63.75,64.45,61.52,63.81,4889604
2021-08-22,63.86,65.23,61.87,65,3695237
2021-08-29,65.1,68.98,64.51,67.5,2987982
2021-09-05,67.5,72.83,67.5,69.25,4405956
2021-09-12,68.92,70.65,63.46,63.46,4314798
2021-09-19,63.61,65.15,61.82,64.25,8066230
2021-09-26,63.8,63.98,59.5,59.64,6054487
2021-10-03,59.6,60.81,57.19,58.09,8197648
2021-10-10,57.9,59.84,54.36,58.79,10172013
2021-10-17,59,59.88,49.42,50.69,26113512
2021-10-24,50.71,51.63,48.65,50.35,11690178
2021-10-31,50.16,51.3,44.615,45.12,14613984
2021-11-07,45.5,50.19,43.31,49.25,18578363
2021-11-14,49.8,49.9,40.25,40.8,19844007
2021-11-21,41,46.095,40.3,45.4,16261040
2021-11-28,45.5,46.15,39,42,16364509
2021-12-05,42.63,42.63,36.055,36.545,19848452
2021-12-12,36.54,39.88,34.525,38,19264964
2021-12-19,38.1,38.56,34.65,37.915,15171256
2021-12-26,37.5,41.96,36.985,38.78,9084430
2022-01-02,38.78,41,38.3,38.86,5984925
2022-01-09,39.49,41.19,36.5,39.365,14415993
2022-01-16,39.62,44.4,38.56,43.235,30165813
2022-01-23,43.38,43.45,38.42,39,19127471
2022-01-30,38.6,39.26,34.8,35.375,18687510
2022-02-06,36.3,39.2,35.175,35.175,16852075
2022-02-13,35.48,36,32.93,35.185,16967458
2022-02-20,34.11,36.195,32.65,32.65,12181515
2022-02-27,33,33.265,24.435,27.51,30555616
2022-03-06,26.5,31.885,26.105,26.305,19780174
2022-03-13,26,30.58,23.12,29.37,24102627
2022-03-20,29.25,33.15,28.36,32.43,20345439
2022-03-27,32.3,34.18,31.21,33,13454287
2022-04-03,33.5,36.66,33.045,35.1,16802389
2022-04-10,35.6,35.68,28.64,28.71,19272961
2022-04-17,28.785,29.45,26.72,27.9,12612755
2022-04-24,28.18,28.96,26.31,27,14411042
2022-05-01,26.44,27.59,23.005,23.035,22487793
2022-05-08,22.59,23.45,20.61,21.95,16670826
2022-05-15,21.85,23.25,20.7,23,17268787
2022-05-22,22.88,24.94,21.925,24.29,14939045
2022-05-29,24.865,25.185,21.3,24.7,30852662
2022-06-05,24.83,25.25,22.79,22.89,16421522
2022-06-12,23.015,23.4,20.45,21.2,11919870
2022-06-19,20.7,21.1,19.414,20.615,17488811
2022-06-26,20.9,23.72,20.835,23.455,16563145
2022-07-03,23.605,24.8,22.41,23.22,14639101
2022-07-10,23.3,28.12,21.87,26.875,20722709
2022-07-17,26.52,27.7,24.12,25,13367851
2022-07-24,25.5,27.94,24.62,26.88,14522811
2022-07-31,26.5,26.765,23.09,25.035,14500889
2022-08-07,25.085,27.99,24.25,25.865,13896063
2022-08-14,26.3,29.15,25.225,28.275,13721858
2022-08-21,28.5,29.92,27.025,27.2,9479292
2022-08-28,26.94,27.075,24.85,25.21,10599810
2022-09-04,24.705,25.2,23.71,25.105,10909589
2022-09-11,24.8,26.695,23.74,26,12072211
2022-09-18,26.405,27,24.865,25.3,10006309
2022-09-25,25.3,26.095,24.005,24.66,8487002
2022-10-02,24.48,25.6,20.75,21.545,23527280
2022-10-09,21.5,22.24,19.88,20.09,23334602
2022-10-16,19.92,19.99,17.9,19.866,38332130
2022-10-23,19.75,20.94,19.062,19.896,18064755
2022-10-30,19.896,22.69,19.76,22.33,20845636
2022-11-06,22.5,24.95,22.17,23.4,14824111
2022-11-13,23.5,26.185,23.16,25.925,11802027
2022-11-20,26.39,26.94,23.915,24.405,18885967
2022-11-27,24.41,25.9,23.01,25.46,14490563
2022-12-04,25.295,25.295,22.26,23.61,32519058
2022-12-11,24,24.94,23.67,24.25,9108697
2022-12-18,24.02,26.45,23.78,24.44,16530753
2022-12-25,24.5,26.175,23.835,25.38,11674081
2023-01-01,25.5,25.725,24.31,25.13,6154609
