Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-04-23,36.15,39.5,36.15,39.19,13142696
2017-04-30,39.5,39.94,37.51,38.76,2304885
2017-05-07,38.55,39.48,38.08,38.84,341941
2017-05-14,39,39.35,37.6,38.79,648988
2017-05-21,38.5,39.95,37.76,39.8,969334
2017-05-28,39.79,42.03,39.3,41.45,1361616
2017-06-04,41.38,46.22,40.65,45,1029014
2017-06-11,45,45.8,43.5,43.85,414727
2017-06-18,44,44.14,43.1,43.75,496378
2017-06-25,44.99,45.95,44.56,45.48,1370109
2017-07-02,45.79,46.89,45,46.89,324153
2017-07-09,47.13,47.78,45.25,46.2,446302
2017-07-16,46.2,48.49,46.2,48.2,1218179
2017-07-23,46.11,51.44,46.11,50.04,1195303
2017-07-30,50.98,52.77,49.88,52.38,833006
2017-08-06,53,53.6,51.5,51.5,844781
2017-08-13,51.45,51.5,49.15,50.8,431066
2017-08-20,50.92,50.92,49.37,50.15,363896
2017-08-27,50.1,53.78,50.1,53.45,527306
2017-09-03,53.11,59.47,53,58.6,1129554
2017-09-10,58,64.3,58,62.35,802269
2017-09-17,62.5,65.6,62.35,65.57,369927
2017-09-24,65.6,67,58.72,63.65,1133423
2017-10-01,64,66.5,61.68,66.35,1295399
2017-10-08,66.5,69.5,66.47,68.75,1147507
2017-10-15,68.75,69.97,66.91,69.75,412872
2017-10-22,69.97,69.99,66,66.85,411831
2017-10-29,67.5,69.57,66.33,68,1484993
2017-11-05,68,69.84,67.52,67.71,845795
2017-11-12,67.74,69,63.27,64,1505820
2017-11-19,63.51,68.5,61.22,67.2,2818057
2017-11-26,67.21,75.15,66.99,74.7,3308687
2017-12-03,74.99,77.5,71.05,72.35,8420141
2017-12-10,72.4,77.25,71.51,73,2982253
2017-12-17,72.75,77.89,72.25,77.5,2904167
2017-12-24,77.99,78.4,74.53,74.57,586060
2017-12-31,74.6,78.8,74.6,78.8,300313
2018-01-07,78.5,84.35,76.95,82.5,643167
2018-01-14,84,84,77.5,77.8,1226026
2018-01-21,78.2,83.9,75.3,82,1083542
2018-01-28,82.5,84,79.5,82.9,701963
2018-02-04,83,88.2,81,88.2,945777
2018-02-11,86,86.5,77.4,79.65,1446962
2018-02-18,80.05,83.9,80.05,83.25,681097
2018-02-25,83.8,84.35,80.25,83,587945
2018-03-04,84,85.5,82.2,83,612686
2018-03-11,82.9,91,81.35,90.95,576329
2018-03-18,91.15,92.6,88.7,91.1,851556
2018-03-25,93.25,94.75,85.5,87.5,1281777
2018-04-01,87.45,89.6,84.9,86.85,561049
2018-04-08,86.75,90,84.55,89.55,483319
2018-04-15,89.9,92.6,88,91.9,717260
2018-04-22,92.1,95.25,90.9,90.9,540353
2018-04-29,91,93.1,90.05,92.25,533472
2018-05-06,92,98.5,91.5,97.1,538344
2018-05-13,97.95,99,95.15,98.2,696512
2018-05-20,98.2,112.7,98.2,106.1,1452359
2018-05-27,107.7,112,102.6,112,941202
2018-06-03,110.6,112.9,104.2,106.7,1310770
2018-06-10,108,109,100.4,102.2,872636
2018-06-17,103,104.9,96.65,102.3,1135136
2018-06-24,102,102.2,95.6,98.15,1773633
2018-07-01,97.1,104.4,95.95,104,1075646
2018-07-08,103.5,112.1,100.3,103.5,1398954
2018-07-15,104.6,104.9,98.6,101,1506971
2018-07-22,102.4,105,99.6,104.6,842522
2018-07-29,105,106,100.1,101,700680
2018-08-05,101,101.8,97,98.5,829624
2018-08-12,98,104,97.8,101.3,527808
2018-08-19,100.4,101.5,97.5,101.2,319070
2018-08-26,101.8,102.9,90.55,92.3,1908997
2018-09-02,94.65,94.65,90.2,91.3,1026458
2018-09-09,91,92.25,85.55,88,801550
2018-09-16,88.6,94.85,84.75,94.4,931495
2018-09-23,94,96.1,93.1,94.5,1461705
2018-09-30,95.15,100.8,95.15,99.6,880955
2018-10-07,99.25,99.6,93.15,94.3,709181
2018-10-14,94,95.4,87,90,1002450
2018-10-21,90.9,94,87.05,88.15,861167
2018-10-28,87.15,91.8,83.8,85.5,810553
2018-11-04,85.5,86.6,81.6,84.7,965933
2018-11-11,84.95,86.15,75.6,79.5,1885476
2018-11-18,79.4,91.7,78.6,85.65,1371010
2018-11-25,86.25,88,82.75,86.5,474170
2018-12-02,86.8,97.35,83.05,97.35,1090033
2018-12-09,97.25,102.9,96.15,98.6,1292617
2018-12-16,96.65,100.6,96.1,98.6,656450
