year;date;rose2profit1;rose2profit0;close;rose2rose;rose2uptick_date;rose2uptick_close;rose2uptick_diff;rose2downtick_date;rose2downtick_close;rose2downtick_diff;rose2uptick_a1;rose2uptick_a1_close;rose2downtick_a1;rose2downtick_a1_close;rose2uptick_a2;rose2uptick_a2_close;rose2downtick_a2;rose2downtick_a2_close;rose2entry;rose2open_trade;rose2close_trade;rose2open_trade_date;rose2open_trade_close;rose2climate;rose2profit;rose2rosehigh;rose2roselow;rose2climateU;rose2climateD
1938;1938-01-01;1,0;0,0;6,22;1;1900-01-01;0,0;0,0;1900-01-01;0,0;0,0;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,22;0
1938;1938-01-08;1,0;0,0;6,37;1;1900-01-01;0,0;0,0;1900-01-01;0,0;0,0;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,37;0
1938;1938-01-15;1,0;0,0;6,1;-2;1900-01-01;0,0;0,0;1900-01-01;0,0;0,0;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,1;6,1;0
1938;1938-01-22;1,0;0,0;5,62;-2;1900-01-01;0,0;0,0;1900-01-01;0,0;0,0;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;5,62;5,62;0
1938;1938-01-29;1,0;0,0;5,75;0;1900-01-01;0,0;0,0;1938-01-22;5,62;0,02;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;5,75;0
1938;1938-02-07;1,0;0,0;5,84;2;1900-01-01;0,0;0,0;1938-01-22;5,62;0,04;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;5,84;0,0;5,84;0
1938;1938-02-12;1,0;0,0;5,97;2;1900-01-01;0,0;0,0;1938-01-22;5,62;0,06;0;0;0;0;0;0;0;0;1;5,97;0,0;1900-01-01;0,0;1;0,0;5,97;0,0;5,97;0
1938;1938-02-19;1,0;0,0;6,16;2;1900-01-01;0,0;0,0;1938-01-22;5,62;0,1;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,16;0,0;6,16;0
1938;1938-02-26;1,0;0,0;5,93;-2;1938-02-19;6,16;-0,04;1938-01-22;5,62;0,06;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;5,93;5,93;0
1938;1938-03-05;0,95;-0,05;5,65;-2;1938-02-19;6,16;-0,08;1938-01-22;5,62;0,01;0;0;0;0;0;0;0;0;-1;0,0;5,65;1938-02-12;5,97;1;-0,05;0,0;5,65;5,65;0
1938;1938-03-12;1,0;0,0;5,54;-2;1938-02-19;6,16;-0,1;1900-01-01;0,0;0,0;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;5,54;5,54;0
1938;1938-03-19;1,0;0,0;4,9;-2;1938-02-19;6,16;-0,2;1900-01-01;0,0;0,0;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;4,9;4,9;0
1938;1938-03-26;1,0;0,0;4,93;0;1938-02-19;6,16;-0,2;1938-03-19;4,9;0,01;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;4,93;0
1938;1938-04-02;1,0;0,0;5,46;2;1938-02-19;6,16;-0,11;1938-03-19;4,9;0,11;0;0;0;0;0;0;0;0;1;5,46;0,0;1900-01-01;0,0;1;0,0;5,46;0,0;5,46;0
1938;1938-04-09;1,0;0,0;5,64;2;1938-02-19;6,16;-0,08;1938-03-19;4,9;0,15;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;5,64;0,0;5,64;0
1938;1938-04-16;1,0;0,0;5,51;0;1938-04-09;5,64;-0,02;1938-03-19;4,9;0,12;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;5,51;0
1938;1938-04-23;0,94;-0,06;5,15;-2;1938-04-09;5,64;-0,09;1938-03-19;4,9;0,05;0;0;0;0;0;0;0;0;-1;0,0;5,15;1938-04-02;5,46;1;-0,06;0,0;5,15;5,15;0
1938;1938-04-30;1,0;0,0;5,52;2;1938-04-09;5,64;-0,02;1938-04-23;5,15;0,07;0;0;0;0;0;0;0;0;1;5,52;0,0;1900-01-01;0,0;1;0,0;5,52;0,0;5,52;0
1938;1938-05-07;1,0;0,0;5,45;0;1938-04-30;5,52;-0,01;1938-04-23;5,15;0,06;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;5,45;0
1938;1938-05-14;0,94;-0,06;5,21;-2;1938-04-30;5,52;-0,06;1938-04-23;5,15;0,01;0;0;0;0;0;0;0;0;-1;0,0;5,21;1938-04-30;5,52;1;-0,06;0,0;5,21;5,21;0
1938;1938-05-21;1,0;0,0;4,98;-2;1938-04-30;5,52;-0,1;1938-03-19;4,9;0,02;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;4,98;4,98;0
1938;1938-05-28;1,0;0,0;5,11;0;1938-04-30;5,52;-0,07;1938-05-21;4,98;0,03;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;5,11;0
1938;1938-06-04;1,0;0,0;5,17;2;1938-04-30;5,52;-0,06;1938-05-21;4,98;0,04;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;5,17;0,0;5,17;0
1938;1938-06-11;1,0;0,0;5,12;0;1938-06-04;5,17;-0,01;1938-05-21;4,98;0,03;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;5,12;0
1938;1938-06-18;1,0;0,0;6,02;2;1938-02-19;6,16;-0,02;1938-05-21;4,98;0,21;0;0;0;0;0;0;0;0;1;6,02;0,0;1900-01-01;0,0;1;0,0;6,02;0,0;6,02;0
1938;1938-06-25;1,0;0,0;6,42;2;1900-01-01;0,0;0,0;1938-05-21;4,98;0,29;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,42;0,0;6,42;0
1938;1938-07-02;1,0;0,0;6,32;0;1938-06-25;6,42;-0,02;1938-05-21;4,98;0,27;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,32;0
