year;date;close;high;snake4rollingHigh;snake4volumeCumMax;snake4W1hist_low_0;snake4W1hist_high_0;snake4W1hist_close_0;snake4W1hist_open_0;snake4W1hist_volume_0;snake4W1hist_low_1;snake4W1hist_high_1;snake4W1hist_close_1;snake4W1hist_open_1;snake4W1hist_volume_1;snake4W1hist_close_2;snake4W1hist_volume_2;snake4W1hist_close_3;snake4W1hist_volume_3
1992;1992-10-26;4,22;4,4;4,4;274755,263;0,959;1,0;0,959;1,0;0,665;0,9;0,986;0,986;0,9;0,784;0,818;0,737;0,891;1,0
1992;1992-11-02;4,2;4,22;4,4;274755,263;0,955;0,959;0,955;0,959;0,32;0,959;1,0;0,959;1,0;0,665;0,986;0,784;0,818;0,737
1992;1992-11-09;4,24;4,24;4,4;274755,263;0,964;0,964;0,964;0,964;0,313;0,955;0,959;0,955;0,959;0,32;0,959;0,665;0,986;0,784
1992;1992-11-16;4,04;4,04;4,4;274755,263;0,891;0,918;0,918;0,891;0,188;0,964;0,964;0,964;0,964;0,313;0,955;0,32;0,959;0,665
1992;1992-11-23;3,76;3,98;4,24;274755,263;0,887;0,939;0,887;0,939;0,236;0,925;0,953;0,953;0,925;0,188;1,0;0,313;0,991;0,32
1992;1992-11-30;4,04;4,04;4,24;274755,263;0,943;0,953;0,953;0,943;0,215;0,887;0,939;0,887;0,939;0,236;0,953;0,188;1,0;0,313
1992;1992-12-07;4,02;4,08;4,08;274755,263;0,985;1,0;0,985;1,0;0,311;0,98;0,99;0,99;0,98;0,215;0,922;0,236;0,99;0,188
1992;1992-12-14;3,94;3,98;4,08;274755,263;0,966;0,976;0,966;0,976;0,128;0,985;1,0;0,985;1,0;0,311;0,99;0,215;0,922;0,236
1992;1992-12-21;3,88;3,88;4,08;274755,263;0,951;0,951;0,951;0,951;0,098;0,966;0,976;0,966;0,976;0,128;0,985;0,311;0,99;0,215
1992;1992-12-28;3,8;3,8;4,08;274755,263;0,931;0,931;0,931;0,931;0,112;0,951;0,951;0,951;0,951;0,098;0,966;0,128;0,985;0,311
1993;1993-01-04;4,02;4,02;4,02;274755,263;0,95;1,0;1,0;0,95;0,216;0,945;0,945;0,945;0,945;0,112;0,965;0,098;0,98;0,128
1993;1993-01-11;4,14;4,14;4,14;274755,263;0,99;1,0;1,0;0,99;0,307;0,923;0,971;0,971;0,923;0,216;0,918;0,112;0,937;0,098
1993;1993-01-18;4,04;4,1;4,14;274755,263;0,976;0,99;0,976;0,99;0,196;0,99;1,0;1,0;0,99;0,307;0,971;0,216;0,918;0,112
1993;1993-01-25;3,92;4,04;4,14;274755,263;0,947;0,976;0,947;0,976;0,217;0,976;0,99;0,976;0,99;0,196;1,0;0,307;0,971;0,216
1993;1993-02-01;3,94;3,94;4,14;274755,263;0,942;0,952;0,952;0,942;0,234;0,947;0,976;0,947;0,976;0,217;0,976;0,196;1,0;0,307
1993;1993-02-08;3,84;3,98;4,1;274755,263;0,937;0,971;0,937;0,971;0,291;0,951;0,961;0,961;0,951;0,234;0,956;0,217;0,985;0,196
