Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-05-30,42,45,42,44.645,27519729
2021-06-06,44.645,44.645,43.375,43.845,2637589
2021-06-13,43.835,44.245,43.47,43.6,3326834
2021-06-20,43.55,44.05,42.2,43.995,3329383
2021-06-27,43.98,51.64,43.32,50.5,3083734
2021-07-04,50.58,51.94,48.3,51.4,5173035
2021-07-11,51.8,52.9,51.4,51.79,2141095
2021-07-18,51.99,53.83,51.6,52.9,1858836
2021-07-25,52.9,54.98,50.54,54.33,1610075
2021-08-01,54.43,55.46,52.6,53.5,1167204
2021-08-08,53.99,56.4,53.64,55.75,2599479
2021-08-15,55.75,57.44,54.56,56.11,2383263
2021-08-22,57.29,57.29,54.5,55.5,2000794
2021-08-29,55.71,56,53.58,54.22,372177
2021-09-05,54.25,55.44,50.51,51.6,1532330
2021-09-12,51.7,53.21,50.11,50.36,1501460
2021-09-19,50.5,51.78,47.51,47.9,1270438
2021-09-26,47.7,52.55,46.805,51.2,2024348
2021-10-03,51.21,53.39,49.615,52.88,1385592
2021-10-10,52.86,52.86,47,47.27,3428688
2021-10-17,47.48,49.8,47.025,47.5,1733018
2021-10-24,47.985,48.205,45.22,46.38,1178632
2021-10-31,47,48.245,46.46,47.2,942197
2021-11-07,47.5,49,46.67,47.25,1084417
2021-11-14,47.49,48.495,47,47.585,645964
2021-11-21,47.33,48.595,46.005,47.835,1313526
2021-11-28,48.45,48.5,45.275,45.9,2023127
2021-12-05,46,48.3,43.705,46.8,2092980
2021-12-12,47,50.43,46.12,49.07,1095174
2021-12-19,49.4,51.39,46.045,46.47,8644282
2021-12-26,46.8,47.4,44,45.735,864205
2022-01-02,46.215,46.875,43.58,46.515,485535
2022-01-09,46.695,46.945,44.45,45.5,1000727
2022-01-16,45.5,45.58,41.415,42.87,1317668
2022-01-23,42.9,43.095,40.115,40.2,643989
2022-01-30,40.3,41.9,38,39.64,797108
2022-02-06,39.89,42.13,39.02,42.13,656725
2022-02-13,42.6,42.6,39.5,40,620541
2022-02-20,39.51,40.6,38.2,40.35,385721
2022-02-27,39.51,40.395,35.85,40.035,2426107
2022-03-06,39.85,44.9,37.4,40.755,1694925
2022-03-13,41.005,42.8,38,40.94,1615219
2022-03-20,41.5,46.35,40.58,45.745,2627361
2022-03-27,46.32,47.445,45.005,46.56,1634608
2022-04-03,46.155,46.79,43.745,45.75,1818949
2022-04-10,46.665,46.92,44.32,45.5,813947
2022-04-17,45.21,45.93,44.56,45,598438
2022-04-24,45.18,45.18,41.58,41.62,565345
2022-05-01,40.58,42.8,40.2,41.78,935784
2022-05-08,42.5,42.5,39.8,40.44,281637
2022-05-15,40,41.58,39.02,40.76,908239
2022-05-22,40.44,42.38,39.5,40,547031
2022-05-29,40.62,41.44,38.62,40.24,508459
