Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-04-21,100,100,100,100,325
1991-04-28,95.7,95.7,95.7,95.7,5905
1991-05-05,93.5,93.5,93.5,93.5,7162
1991-05-19,92.9,92.9,92.9,92.9,18300
1991-05-26,95.5,95.5,95.5,95.5,14750
1991-06-02,94.6,94.6,94.6,94.6,31440
1991-06-09,95.8,95.8,95.8,95.8,12396
1991-06-16,95,95,95,95,26247
1991-06-23,85.7,85.7,85.7,85.7,33496
1991-06-30,84.1,84.1,84.1,84.1,25264
1991-07-07,88.1,88.1,88.1,88.1,31913
1991-07-14,85.7,85.7,85.7,85.7,36743
1991-07-21,82.5,82.5,82.5,82.5,42664
1991-07-28,84.4,84.4,84.4,84.4,48483
1991-08-04,81.6,81.6,81.6,81.6,33559
1991-08-11,78.5,78.5,78.5,78.5,46771
1991-08-18,76.3,76.3,76.3,76.3,26415
1991-08-25,74.8,74.8,74.8,74.8,30497
1991-09-01,73.1,73.1,73.1,73.1,37740
1991-09-08,71.8,71.8,71.8,71.8,36796
1991-09-15,70.7,70.7,70.7,70.7,50869
1991-09-22,68.5,68.5,68.5,68.5,52892
1991-09-29,67.2,67.2,67.2,67.2,92084
1991-10-06,67.1,67.1,67.1,67.1,256
1991-10-13,70,70,70,70,91260
1991-10-20,76.3,76.3,76.3,76.3,121743
1991-10-27,83.5,83.5,83.5,83.5,52543
1991-11-03,91.3,91.3,91.3,91.3,145326
1991-11-10,97.9,97.9,97.9,97.9,147129
1991-11-17,98.4,98.4,98.4,98.4,85897
1991-11-24,88.9,88.9,88.9,88.9,82486
1991-12-01,84.7,84.7,84.7,84.7,84286
1991-12-08,90.7,90.7,90.7,90.7,76462
1991-12-15,99.1,99.1,99.1,99.1,189231
1991-12-22,91.7,91.7,91.7,91.7,85
1992-01-05,90.9,90.9,90.9,90.9,108716
1992-01-12,96.4,96.4,95.3,95.3,110609
1992-01-19,92,92,90.5,90.5,91419
1992-01-26,93.7,94.2,93.7,94.2,87549
1992-02-02,92.3,92.7,92.3,92.7,55734
1992-02-09,92.5,92.5,89.1,89.1,117762
1992-02-16,92.6,92.6,90.9,90.9,208621
1992-02-23,91.3,92.2,91.3,92.2,342702
1992-03-01,93.1,93.1,91.5,91.5,300988
1992-03-08,93.7,94.6,93.7,94.6,380295
1992-03-15,94.1,94.5,94.1,94.5,347750
1992-03-22,91,92.9,91,92.9,472981
1992-03-29,92.4,92.4,90.3,90.3,1056696
1992-04-05,87.2,87.2,86.8,86.8,895690
1992-04-12,84.3,84.3,83.1,83.1,547372
1992-04-19,83.5,83.5,82.2,82.2,677799
1992-04-26,82.2,82.2,82.2,82.2,787677
1992-05-03,78.8,78.8,76.5,76.5,2218663
1992-05-10,75.3,75.9,75.3,75.9,1158864
1992-05-17,77.4,77.4,76.2,76.2,1532344
1992-05-24,73.9,74,73.9,74,1036125
1992-05-31,73.1,74,73.1,74,1316477
1992-06-07,73.8,73.8,71.5,71.5,1673069
1992-06-14,70,70,67.8,67.8,1059123
1992-06-21,66.4,66.4,66.4,66.4,459906
1992-06-28,62.8,65.3,62.8,65.3,1033593
1992-07-05,71.5,78.3,71.5,78.3,417910
1992-07-12,85.2,86.1,85.2,86.1,2656594
1992-07-19,83,84.4,83,84.4,1889782
1992-07-26,82.1,84.1,82.1,84.1,2630399
1992-08-02,83.7,83.7,83.2,83.2,2959568
1992-08-09,81,81,80.2,80.2,1777721
1992-08-16,80.5,80.5,80.3,80.3,1420848
1992-08-23,79.9,80,79.9,80,1468337
1992-08-30,81,84.1,81,84.1,2417023
1992-09-06,82.9,82.9,82.8,82.8,2025881
1992-09-13,81.9,81.9,81.7,81.7,2208216
1992-09-20,84.6,86.6,84.6,86.6,2412742
1992-09-27,86.7,87.8,86.7,87.8,2855293
1992-10-04,90.2,92.7,90.2,92.7,2690532
1992-10-11,92.1,92.1,89.4,89.4,2643239
1992-10-18,86.7,88.3,86.7,88.3,2739287
1992-10-25,92.2,94.2,92.2,94.2,3012329
1992-11-01,95.1,95.1,92.9,92.9,4508885
1992-11-08,91.5,93.2,91.5,93.2,2707870
1992-11-15,93.3,93.3,93.2,93.2,1699851
1992-11-22,94.7,95.1,94.7,95.1,1736316
1992-11-29,93.2,95.4,93.2,95.4,2198945
1992-12-06,100.2,104.8,100.2,104.8,2706053
1992-12-13,105.8,105.9,105.8,105.9,2664276
1992-12-20,105.6,105.6,104.5,104.5,2723523
1992-12-27,103,103,103,103,1406144
1993-01-03,102.9,102.9,102.9,102.9,999046
1993-01-10,102.5,104.6,102.5,104.6,2341206
1993-01-17,106.1,106.9,106.1,106.7,2728167
1993-01-24,107.3,107.3,106.7,106.7,2616588
1993-01-31,105.4,105.4,103.8,103.9,2543324
1993-02-07,104.6,104.8,104.5,104.5,2464996
1993-02-14,104.4,104.4,103.8,103.8,2180927
1993-02-21,104.1,104.8,103.6,103.6,2049214
1993-02-28,104,107.1,104,107.1,2146110
1993-03-07,108.8,115.2,108.8,115.2,2739385
1993-03-14,118.7,125.4,118.7,125.4,5647999
1993-03-21,121.7,123.1,121,123.1,2892711
1993-03-28,124.8,126.5,124.1,126.5,5136180
1993-04-04,128.5,128.8,127.9,127.9,2723347
1993-04-11,128.6,133.5,128.6,133.5,3418055
1993-04-18,141.1,151.4,141.1,151.4,4265781
1993-04-25,162.3,191.7,162.3,191.7,8348746
1993-05-02,192.8,192.8,181.7,181.7,8651374
1993-05-09,187.3,200.5,187.3,200.5,3888013
1993-05-16,220.1,253.4,220.1,253.4,7554685
1993-05-23,251.3,296.9,251.3,296.9,11359043
1993-05-30,316.8,363.2,316.8,363.2,7208152
1993-06-06,374.1,374.1,331.6,331.6,10755635
1993-06-13,300,300,260.8,260.8,7480764
1993-06-20,285.8,328.5,285.8,328.5,9758613
1993-06-27,317.8,336.1,317.8,336.1,11423483
1993-07-04,340.9,363.6,340.9,363.6,11534440
1993-07-11,396,409.2,384.1,384.1,13331390
1993-07-18,406.5,411.7,404.7,404.7,8403978
1993-07-25,410,418.9,410,414.6,11872791
1993-08-01,416.5,416.7,414.8,414.8,8120221
1993-08-08,418,440.1,418,440.1,10308290
1993-08-15,480.9,519.2,480.9,519.2,15271614
1993-08-22,543,593.7,543,593.7,14684099
1993-08-29,631.8,738.9,631.8,738.9,10306282
1993-09-05,689.2,689.2,623.6,681.5,15834734
1993-09-12,747.5,747.5,668.3,668.3,18886784
1993-09-19,668.8,697.5,668.8,697.5,11253726
1993-09-26,653.7,653.7,582.6,582.6,10244806
1993-10-03,578.1,623.1,578.1,623.1,10728539
1993-10-10,646.7,675.3,646.7,675.3,17279055
1993-10-17,708.3,765.3,708.3,765.3,17290841
1993-10-24,801.7,801.7,775.6,775.6,14080435
1993-10-31,765.2,788.4,765.2,788.4,9437979
1993-11-07,809.7,824.7,809.7,824.7,8659870
1993-11-14,815.5,836.5,802.9,836.5,13324824
1993-11-21,886.8,904.4,851.2,851.2,14881805
1993-11-28,815.8,880.1,815.8,880.1,12476160
1993-12-05,872.2,906.8,872.2,906.8,10026075
1993-12-12,947.7,965.4,947.7,963.2,13199979
1993-12-19,1015.7,1055.6,1015.7,1055.6,10906743
1993-12-26,1079.7,1196.9,1079.7,1196.9,13890779
1994-01-02,1267.3,1267.3,1162.7,1229.8,14994150
1994-01-09,1289.7,1319.4,1289.7,1308.3,17910678
1994-01-16,1316,1395.7,1316,1395.7,18329686
1994-01-23,1445.9,1524.6,1445.9,1524.6,24482709
1994-01-30,1566.7,1801.2,1566.7,1801.2,18936841
1994-02-06,1669,1669,1470.2,1470.2,22794667
1994-02-13,1595.4,1710.4,1595.4,1710.4,20171517
1994-02-20,1785.4,1884.3,1785.4,1884.3,19901726
1994-02-27,1913.9,1957.8,1913.9,1957.8,17899689
1994-03-06,1996.7,2004.5,1977,1977,12966308
1994-03-13,2012.9,2052.5,2012.9,2038.9,13072869
1994-03-20,2022.5,2047.5,1996.2,1996.2,11247534
1994-03-27,1820.5,1830.9,1704.1,1830.9,11167982
1994-04-03,1744.6,1744.6,1437.1,1437.1,9346232
1994-04-10,1362.9,1385.5,1324.4,1324.4,12734853
1994-04-17,1182.3,1182.3,986.7,986.7,3197339
1994-04-24,1037.9,1295.1,1037.9,1295.1,12745717
1994-05-01,1340.3,1340.3,1089.5,1089.5,8640751
1994-05-08,1126,1126,1072.9,1072.9,7626285
1994-05-15,1028.8,1055.4,1028.2,1055.4,8951089
1994-05-22,1148.4,1168.4,1132.2,1168.4,11135353
1994-05-29,1210.2,1233.8,1210.2,1215,12395413
1994-06-05,1208.1,1208.1,1103.9,1103.9,12007529
1994-06-12,1047.8,1047.8,960.3,960.3,11370860
1994-06-19,865.8,865.8,784.4,829.1,8573538
1994-06-26,780.4,780.4,713.3,713.3,13733782
1994-07-03,759.1,783.2,759.1,770.4,9104864
1994-07-10,792.8,906,792.8,906,11631713
1994-07-17,950.1,1093.7,950.1,1028.9,16036302
1994-07-24,1094,1153.3,1048.8,1089.4,21091702
1994-07-31,1037.7,1059.4,1026.5,1059.4,12165767
1994-08-07,1067.7,1161,1067.7,1161,11226868
1994-08-14,1176.3,1176.3,1141.9,1146.7,11014396
1994-08-21,1173.8,1220.8,1173.8,1220.8,8180226
1994-08-28,1219.6,1229.2,1127.4,1127.4,11504550
1994-09-04,1130.3,1144.4,1049.4,1049.4,8084317
1994-09-11,1026.6,1026.6,917.1,991.7,10080463
1994-09-18,1041,1041,937.7,950.9,11696214
1994-09-25,947.4,947.4,897.5,899.9,8977849
1994-10-02,894.8,903.7,856.5,903.7,8609790
1994-10-09,927.4,974.1,927.4,974.1,11927898
1994-10-16,943.7,943.7,892.6,899.3,9578875
1994-10-23,905.8,926.9,881.9,881.9,9174142
1994-10-30,847.1,847.1,764,764,11985567
1994-11-06,790.3,812.1,783.8,783.8,7941531
1994-11-13,767.1,767.1,717.8,717.8,6569030
1994-11-20,695.2,696.5,649.2,696.5,15152935
1994-11-27,663.9,673.3,654,673.3,11186635
1994-12-04,691.3,793.5,691.3,781.6,19808705
1994-12-11,789.3,789.3,680.6,680.6,17683252
1994-12-18,720,720,700.7,713.5,12979163
1994-12-25,735.9,735.9,713,716.1,11413423
1995-01-01,713.6,732,705,732,5496868
1995-01-08,749.7,775.9,735.3,735.3,14744444
1995-01-15,743.8,743.8,721.9,739.4,8910000
1995-01-22,740.6,740.6,718.5,718.5,9620495
1995-01-29,696,696,641.6,641.6,8699813
1995-02-05,632.8,632.8,586.7,586.7,9951037
