Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,2623.05,2734.02,2596.27,2734.02,14822116
2006-01-03,2748.61,2876.26,2739.09,2844.34,20960700
2006-01-04,2920.59,3009.34,2889.17,3009.34,22948596
2006-01-05,3013.97,3029.09,2969.81,3001.16,18082740
2006-01-06,3015.82,3110.82,2969.69,3061.4,20954744
2006-01-09,3130.86,3197.81,3020.11,3020.11,22216212
2006-01-10,3017.34,3040.51,2937.85,2937.85,16059518
2006-01-11,3004.37,3080.35,2984.47,3049.37,17284616
2006-01-12,3036.79,3038.43,2974.13,3012.21,13197111
2006-01-13,2922.41,2937.98,2890.66,2910.58,13270874
2006-01-16,2895.75,3021.53,2883.64,3013.3,13500326
2006-01-17,3004.99,3036.84,2969.67,3004.18,14326784
2006-01-18,2877.56,2963.87,2872.08,2956.5,9954206
2006-01-19,2994.06,3159.68,2988.53,3119.67,17665508
2006-01-20,3147.67,3195.27,3136.19,3169.63,13461621
2006-01-23,3072.55,3182.03,3035.84,3155.47,12622758
2006-01-24,3190.05,3235.65,3117.21,3162.42,14633975
2006-01-25,3242.55,3280.76,3199.02,3263.57,26588866
2006-01-26,3310.59,3310.59,3181.49,3196.62,17501428
2006-01-27,3233.4,3262.88,3135.83,3226.94,11576996
2006-01-30,3224.39,3254.13,3180.44,3226.3,7804766
2006-01-31,3170.64,3170.64,2931.61,2933.83,16496757
2006-02-01,2846,2977.55,2837.25,2971.49,11889880
2006-02-02,3023.27,3032.5,2943.18,2963.07,12453365
2006-02-03,2927.61,2945.87,2825.39,2839.52,10703971
2006-02-06,2873.04,3001.67,2873.04,2996.56,8625605
2006-02-07,3023.87,3035.93,2938.54,3028.07,8599434
2006-02-08,2950.14,3006.88,2877.67,2976.7,7871797
2006-02-09,3021.71,3049.48,2986.67,3000.98,8758296
2006-02-10,2976.07,2993.74,2883.97,2898.15,9347804
2006-02-13,2831.37,2914.7,2829.97,2847.85,8605026
2006-02-14,2900.97,2929.13,2869.3,2893.5,7872946
2006-02-15,2928.7,2941.98,2882.26,2941.98,8886666
2006-02-16,2939.67,2952.17,2835.03,2835.03,12858643
2006-02-17,2858.82,3037.97,2841.32,3033.11,17637644
2006-02-20,3071.21,3162.08,3047.34,3131.31,12864309
2006-02-21,3148.72,3152.86,3077.7,3112.2,10189110
2006-02-22,3118.07,3143.12,3076.86,3108.26,9005848
2006-02-23,3107.87,3145.24,3093.45,3115.99,12752919
2006-02-24,3123.14,3205.25,3106.55,3205.01,7952180
2006-02-27,3229,3256.67,3177.62,3235.15,20576676
2006-02-28,3084.38,3160.73,2931.71,2973.84,18530720
2006-03-01,3019.78,3070.58,2978.63,3056.55,17440836
2006-03-02,3081.58,3135.84,3036.99,3116.78,17568678
2006-03-03,3136.52,3146.88,2990.58,3077.56,16246359
2006-03-06,3082.01,3124.09,3035.68,3124.09,13656693
2006-03-07,3074.62,3074.62,2893.2,2981.56,19536056
2006-03-08,2961.07,2972.22,2798.07,2828.3,17125380
2006-03-09,2867.22,2896.45,2798.94,2840.96,15706684
2006-03-10,2839.41,2851.43,2724.22,2803.53,12769169
2006-03-13,2830.46,2846.04,2755.06,2805.55,8405066
2006-03-14,2776.89,2776.89,2721.21,2740.9,18704086
2006-03-15,2805.48,2874.19,2803.83,2831.91,16327592
2006-03-16,2863.18,2956.8,2846.52,2954.76,12797956
2006-03-17,2995.47,3060.34,2949.88,2949.88,27721860
2006-03-20,2958.45,2993.01,2926.81,2937.87,9325900
2006-03-21,2917.64,2940.68,2876.51,2896.93,9809593
2006-03-22,2842.46,2885.03,2808.95,2866.57,10920992
2006-03-23,2891.12,2959.68,2891.12,2958.53,9202766
2006-03-24,3002.82,3036.98,2973.82,2980.96,10374434
2006-03-27,2990.87,3035.97,2982.78,3035.97,7410427
2006-03-28,3030.89,3032.7,2942.28,2942.28,8837769
2006-03-29,2896.36,2935.34,2825.64,2935.34,10389190
2006-03-30,2989.88,3052.46,2983.76,3012.58,7131884
2006-03-31,3021.85,3041.6,2962.53,3012.97,5982534
2006-04-03,3005.53,3111.28,2999.4,3111.28,8976887
2006-04-04,3103.43,3123.79,3057.06,3123.79,7604157
2006-04-05,3150.5,3193.12,3080.72,3083.12,9665812
2006-04-06,3148.55,3160.05,3098.13,3129.5,14837300
2006-04-07,3168.16,3273.46,3163.1,3242.71,26174580
2006-04-10,3256.07,3292.37,3219.21,3271.44,18440304
2006-04-11,3261.02,3302.55,3197.19,3233.24,12875822
2006-04-12,3190.53,3292.91,3179.87,3292.91,18990700
2006-04-13,3308.31,3393.05,3307.38,3348.6,21824454
2006-04-18,3409.89,3513.35,3406.3,3474.27,16563371
2006-04-19,3578.45,3586.11,3423.58,3450.34,14930350
2006-04-20,3464.51,3626.41,3407.33,3626.41,20395620
2006-04-21,3529.08,3764.54,3478.28,3709.69,24021160
2006-04-24,3698.86,3839.05,3687.86,3809.88,15834084
2006-04-25,3793.28,3814.46,3700.4,3789.66,11546999
2006-04-26,3839.75,3888.08,3735.03,3888.08,19158168
2006-04-27,3904.39,3908.09,3597.75,3659.59,18426160
