Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-08,2623.05,3110.82,2596.27,3061.4,97768896
2006-01-15,3130.86,3197.81,2890.66,2910.58,82028331
2006-01-22,2895.75,3195.27,2872.08,3169.63,68908445
2006-01-29,3072.55,3310.59,3035.84,3226.94,82924023
2006-02-05,3224.39,3254.13,2825.39,2839.52,59348739
2006-02-12,2873.04,3049.48,2873.04,2898.15,43202936
2006-02-19,2831.37,3037.97,2829.97,3033.11,55860925
2006-02-26,3071.21,3205.25,3047.34,3205.01,52764366
2006-03-05,3229,3256.67,2931.71,3077.56,90363269
2006-03-12,3082.01,3124.09,2724.22,2803.53,78793982
2006-03-19,2830.46,3060.34,2721.21,2949.88,83956560
2006-03-26,2958.45,3036.98,2808.95,2980.96,49633685
2006-04-02,2990.87,3052.46,2825.64,3012.97,39751804
2006-04-09,3005.53,3273.46,2999.4,3242.71,67258736
2006-04-16,3256.07,3393.05,3179.87,3348.6,72131280
2006-04-23,3409.89,3764.54,3406.3,3709.69,75910501
2006-04-30,3698.86,3908.09,3597.75,3719.6,78865563
2006-05-07,3699.91,3963.19,3689.15,3924.09,38821938
2006-05-14,4038.31,4077.21,3836.49,3953.13,81139050
2006-05-21,3844.19,3862.25,3249.59,3329.04,107391017
2006-05-28,3235.87,3241.97,2639.56,2984.3,128407154
2006-06-04,3058.96,3084.1,2727.9,3046.94,81832341
2006-06-11,3023.76,3153.23,2651.96,2683.27,77865235
2006-06-18,2629.95,2629.95,2139.76,2327.12,97238722
2006-06-25,2395.28,2585.06,2348.17,2444.57,72901146
2006-07-02,2434.07,3055.16,2434.07,2964.67,123491455
2006-07-09,2988.67,3219.95,2838.07,3196.25,99776886
2006-07-16,3054.39,3421.3,2892.11,3007.04,110965574
2006-07-23,3011.34,3279.28,2880.22,3217.22,72296089
2006-07-30,3193.86,3609.5,3172.13,3575.71,84065299
2006-08-06,3586.27,3649.31,3096.26,3229.22,87845648
2006-08-13,3168.75,3310.56,2971.86,2971.86,82493902
2006-08-20,3010.75,3133.64,2952.99,3060.66,64149401
2006-08-27,3056.99,3138.36,2893.46,2940.17,53802063
2006-09-03,2905.02,3194.02,2853.52,3069.23,60341254
2006-09-10,3120.44,3365.61,3079.92,3114.45,75076854
2006-09-17,3044.1,3244.98,2973.68,3123.63,129746976
2006-09-24,3163.5,3225.83,2877.01,2937.39,112664722
2006-10-01,2980.54,3046.9,2917.56,2943.73,91411414
2006-10-08,2985.68,3122.23,2886.04,3086.95,71705791
2006-10-15,3075.58,3505.32,3073.99,3485.66,89800659
2006-10-22,3483.58,3610.26,3361.67,3463.46,101215505
2006-10-29,3461.94,3576.84,3355.62,3400.45,179881258
2006-11-05,3332.22,3373.43,3235.94,3348.05,86487174
2006-11-12,3379.02,3703.76,3359.09,3485.51,175559612
2006-11-19,3476.93,3538.53,3272.25,3340.49,186583436
2006-11-26,3306.84,3578.17,3253.32,3486.43,120651278
2006-12-03,3502.39,3657.05,3370.73,3565.24,92430618
2006-12-10,3598.87,3989.91,3598.05,3917.47,116372288
2006-12-17,3944.14,3970.44,3729.21,3955.52,147122183
2006-12-24,3958.64,4000,3593.37,3593.37,139738812
2006-12-31,3680.29,3785.47,3606.84,3659.62,69271958
2007-01-07,3661.59,3819.59,3445.78,3468.7,98517290
2007-01-14,3402.83,3604.08,3330.89,3594.98,110582678
2007-01-21,3640.57,4056.99,3640.18,4027.69,145724910
2007-01-28,4094.31,4167.62,3774.25,3901.36,147336650
2007-02-04,3925.97,4262.88,3863.13,4171.85,140044486
2007-02-11,4177.25,4244.15,3878.5,3917.57,123354954
2007-02-18,3837.55,3990.07,3749.06,3812.54,79513895
2007-02-25,3851.92,4155.88,3832.4,4115.93,178563349
2007-03-04,4182.76,4184.32,3367.92,3500.24,212728480
2007-03-11,3305.37,3678.41,3229.83,3551.19,123550736
2007-03-18,3632.18,3709.66,3282.75,3645.65,166714722
2007-03-25,3690.97,4084.9,3682.55,4084.9,132686125
2007-04-01,4091.33,4175.75,3899.83,4098.49,105067989
2007-04-08,4024.94,4204.69,3960.21,4152.61,66089989
2007-04-15,4170.03,4351.06,4153.51,4251.55,106030732
2007-04-22,4400.13,4452.36,4187.85,4388,135670924
2007-04-29,4433.59,4441.26,4139.67,4195.97,103405565
2007-05-06,4191.27,4494.46,4171.61,4494.46,46557121
2007-05-13,4480.52,4529.91,3991.5,4181.08,88278229
2007-05-20,4228.85,4283.26,3938.84,4052.17,115540570
2007-05-27,4081.49,4330.65,4043.84,4134.75,86190966
2007-06-03,4181.57,4564.15,4102.96,4564.15,104889123
2007-06-10,4534.68,4691.48,4224.34,4336.22,81382518
2007-06-17,4418.62,4792.37,4286.33,4739.55,108243776
2007-06-24,4740.59,4818.99,4400.58,4548.36,71019996
2007-07-01,4509.75,4681.32,4420.75,4585.81,110077168
2007-07-08,4568.32,4926.75,4447.08,4926.75,74104412
2007-07-15,4915.71,4973.67,4625.26,4786.31,94174329
2007-07-22,4814.49,4857.79,4586.35,4727.96,81733469
2007-07-29,4719.55,4887.77,4291.22,4407.52,109360400
2007-08-05,4445.52,4507.56,4222.74,4228.99,85033081
2007-08-12,4107.88,4299.86,3823.73,3847.14,90162431
2007-08-19,3903.04,4071.16,3365.18,3657.11,167361524
2007-08-26,3743.55,4137.41,3529.74,4132.27,116109438
2007-09-02,4186.17,4213.76,3811.15,4120.28,174440264
2007-09-09,4118.97,4228.29,3834.84,3897.43,158142290
2007-09-16,3802.07,4224.33,3755.01,4129.21,75560134
2007-09-23,4103.74,4627.78,4048.93,4497.47,105838062
2007-09-30,4505.45,4512.21,4159.23,4160.86,73397044
2007-10-07,4163.8,4459.27,4062.49,4397.8,116722453
2007-10-14,4451.84,4810.56,4359.29,4724.36,186063824
2007-10-21,4776.13,4809.68,4401.6,4557.87,100311038
2007-10-28,4429.16,4796.73,4366.19,4723.25,147823600
2007-11-04,4842.83,4855.23,4522.14,4540.72,67939547
2007-11-11,4478.66,4571.21,3918.48,4055.81,169112374
2007-11-18,3970.24,4168.27,3706.98,3798.6,193684378
2007-11-25,3885.51,4017.58,3753.92,3942.76,161084466
2007-12-02,4008.64,4013.34,3642.73,3898.15,152155858
2007-12-09,3935.01,4242.92,3812.66,4208.5,273167336
2007-12-16,4196.81,4338.71,3859.63,3915.11,157670260
2007-12-23,3804.23,3829.9,3447.13,3737.62,327419172
2007-12-30,3760.12,3867.24,3642.46,3675.51,60299256
2008-01-06,3667.1,3746.36,3501.32,3547.92,68818606
2008-01-13,3505.51,3534.63,3139.34,3161.71,191323634
2008-01-20,3157.65,3164.46,2510.51,2748.32,248159200
2008-01-27,2545.67,2716.58,2152.1,2664.23,280815548
2008-02-03,2576.74,2819.84,2521.73,2797.46,213585956
2008-02-10,2892.77,2915.07,2444.43,2577.97,182132384
