Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-08,2670.93,2684.35,2450.03,2469.81,97768896
2006-01-15,2443.05,2541.47,2416.74,2532.78,82028331
2006-01-22,2539.02,2550.38,2416.17,2425.94,68908445
2006-01-29,2464.78,2479.4,2374.37,2405.71,82924023
2006-02-05,2408.01,2564.15,2396.96,2557.77,59348739
2006-02-12,2540.79,2540.79,2467.52,2530.52,43202936
2006-02-19,2561.25,2561.88,2468.23,2470.21,55860925
2006-02-26,2455.1,2464.59,2404.18,2404.27,52764366
2006-03-05,2396.54,2509.08,2386.32,2449.02,90363269
2006-03-12,2448.25,2600.7,2431.76,2563.91,78793982
2006-03-19,2552.95,2603.61,2453.27,2499.2,83956560
2006-03-26,2496.8,2562.83,2464.6,2487.76,49633685
2006-04-02,2484.51,2555.7,2458.97,2475.38,39751804
2006-04-09,2478.37,2480.86,2375.2,2386.46,67258736
2006-04-16,2382.7,2411.07,2334.52,2350.02,72131280
2006-04-23,2329.42,2330.64,2215.54,2231.92,75910501
2006-04-30,2235.47,2264.35,2171.49,2227.18,78865563
2006-05-07,2234.64,2237.89,2158.58,2169.33,38821938
2006-05-14,2138.91,2193.98,2125.91,2158.64,81139050
2006-05-21,2185.14,2374.41,2179.9,2346.56,107391017
2006-05-28,2367.23,2612.71,2364.91,2459.9,128407154
2006-06-04,2430.42,2573.5,2420.3,2433.61,81832341
2006-06-11,2443.83,2605.08,2393.15,2589.88,77865235
2006-06-18,2611.38,2888.54,2611.38,2773.12,97238722
2006-06-25,2731.63,2758.44,2629.03,2705.33,72901146
2006-07-02,2710.76,2710.76,2410.33,2447.11,123491455
2006-07-09,2438.47,2496.67,2343.51,2352.2,99776886
2006-07-16,2405.15,2465.51,2273.24,2418.39,110965574
2006-07-23,2416.18,2471.01,2311,2333.41,72296089
2006-07-30,2342.96,2350.9,2200.87,2211.27,84065299
2006-08-06,2209.1,2372.1,2189.82,2323.26,87845648
2006-08-13,2346.08,2417.19,2294.06,2417.19,82493902
2006-08-20,2402.6,2425.87,2355.05,2383.29,64149401
2006-08-27,2385.93,2452.16,2354.95,2432.68,53802063
2006-09-03,2448.42,2470.29,2332.01,2379.95,60341254
2006-09-10,2355.32,2371.72,2269.16,2358.57,75076854
2006-09-17,2386.49,2414.38,2310.64,2355.81,129746976
2006-09-24,2341.67,2455.28,2318.93,2430.05,112664722
2006-10-01,2413.35,2439.71,2387.42,2428.86,91411414
2006-10-08,2412.7,2454.24,2359.26,2372.74,71705791
2006-10-15,2377.49,2378.1,2226.23,2232.51,89800659
2006-10-22,2234.27,2271.72,2192.52,2238.98,101215505
2006-10-29,2240.44,2275.91,2204.84,2260.91,179881258
2006-11-05,2284.18,2318.97,2270.51,2279.93,86487174
2006-11-12,2268.62,2275.22,2166.95,2233.54,175559612
2006-11-19,2237.41,2305.71,2217.78,2282.16,186583436
2006-11-26,2294.84,2313.47,2205.36,2234.85,120651278
2006-12-03,2230.71,2274.12,2182.13,2210.22,92430618
2006-12-10,2197.85,2198.1,2087.13,2106.66,116372288
2006-12-17,2100.55,2160.38,2094.63,2098.58,147122183
2006-12-24,2098.66,2199.81,2087.81,2199.81,139738812
2006-12-31,2173.73,2196.15,2143.47,2180.31,69271958
2007-01-07,2180.13,2245.7,2135.24,2238.28,98517290
2007-01-14,2260.91,2285.17,2194.72,2197.5,110582678
2007-01-21,2182.92,2183.03,2065.39,2073.23,145724910
2007-01-28,2056.4,2143.11,2037.78,2108.2,147336650
2007-02-04,2102.33,2119.49,2016.39,2038.45,140044486
2007-02-11,2038.16,2113.33,2022.14,2103.09,123354954
2007-02-18,2124.29,2149.36,2082.76,2131.21,79513895
2007-02-25,2120.35,2125.67,2040.52,2050.42,178563349
2007-03-04,2034.45,2258.99,2034.07,2216.12,212728480
2007-03-11,2280.23,2306.35,2158,2196.65,123550736
2007-03-18,2173,2284.21,2151,2169.88,166714722
2007-03-25,2156.38,2158.82,2049.16,2049.16,132686125
2007-04-01,2047.78,2097.85,2026.67,2045.77,105067989
2007-04-08,2064.61,2081.46,2019.84,2032.87,66089989
2007-04-15,2029.91,2033.9,1987.5,2010.93,106030732
