Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-02,1960.57,1960.57,1960.57,1960.57,2925638
2005-01-09,1966.69,1966.69,1897.29,1903.83,36944440
2005-01-16,1889.81,1890.18,1877.82,1890.03,38572434
2005-01-23,1893.39,1893.39,1832.12,1832.12,35595816
2005-01-30,1832.79,1872.2,1832.79,1872.2,36596120
2005-02-06,1887.41,1935.65,1887.41,1935.65,41243229
2005-02-13,1966.72,1967.09,1951.05,1964.42,43263476
2005-02-20,1960.81,2045.66,1960.81,2045.66,59481115
2005-02-27,2076.89,2118.49,2054.25,2118.49,56174680
2005-03-06,2092.33,2092.33,2015.14,2052.94,56299062
2005-03-13,2063.67,2092.51,2033.63,2033.63,50379119
2005-03-20,2011.62,2013.09,1951.88,1970.17,51442546
2005-03-27,1932.68,1971.52,1932.68,1970.4,30615021
2005-04-03,1971.25,1999.87,1971.25,1990.16,25621325
2005-04-10,1986.92,2019.06,1986.92,1994.44,25325840
2005-04-17,1998.05,1998.05,1955.47,1955.47,28646515
2005-04-24,1911.99,1934.43,1893.19,1934.43,33761401
2005-05-01,1935.34,1935.34,1859.92,1863.7,32403703
2005-05-08,1866.07,1878.79,1866.07,1878.79,26305862
2005-05-15,1873.57,1873.57,1841.75,1844.54,41194473
2005-05-22,1841.28,1905.97,1841.28,1905.97,40371041
2005-05-29,1904.91,1937.75,1895.05,1937.75,23990674
2005-06-05,1941.19,1963.14,1917.27,1963.14,35463774
2005-06-12,1992.83,2013.28,1992.83,2013.28,39229136
2005-06-19,2026.5,2054.02,2004.41,2054.02,37325092
2005-06-26,2055.9,2090.33,2055.73,2055.73,39701816
2005-07-03,2040.48,2100,2040.48,2100,42038100
2005-07-10,2120.41,2124.43,2095.05,2123.06,48198599
2005-07-17,2121.36,2178.38,2121.36,2171.18,41620980
2005-07-24,2154.53,2186.54,2154.53,2158.01,36346443
2005-07-31,2177.01,2265,2177.01,2265,43419713
