Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-04-21,1000,1000,1000,1000,325
1991-04-28,967.7,967.7,967.7,967.7,5905
1991-05-05,945.6,945.6,945.6,945.6,7162
1991-05-19,939.6,939.6,939.6,939.6,18300
1991-05-26,966.1,966.1,966.1,966.1,14750
1991-06-02,956.5,956.5,956.5,956.5,31440
1991-06-09,969.4,969.4,969.4,969.4,12396
1991-06-16,960.4,960.4,960.4,960.4,26247
1991-06-23,866.8,866.8,866.8,866.8,33496
1991-06-30,850.2,850.2,850.2,850.2,25264
1991-07-07,891.2,891.2,891.2,891.2,31913
1991-07-14,866.6,866.6,866.6,866.6,36743
1991-07-21,834.4,834.4,834.4,834.4,42664
1991-07-28,853.4,853.4,853.4,853.4,48483
1991-08-04,825.1,825.1,825.1,825.1,33559
1991-08-11,794.2,794.2,794.2,794.2,46771
1991-08-18,771.6,771.6,771.6,771.6,26415
1991-08-25,756.9,756.9,756.9,756.9,30497
1991-09-01,739.7,739.7,739.7,739.7,37740
1991-09-08,725.8,725.8,725.8,725.8,36796
1991-09-15,715.2,715.2,715.2,715.2,50869
1991-09-22,692.8,692.8,692.8,692.8,52892
1991-09-29,680,680,680,680,92084
1991-10-06,678.5,678.5,678.5,678.5,256
1991-10-13,707.8,707.8,707.8,707.8,91260
1991-10-20,771.8,771.8,771.8,771.8,121743
1991-10-27,844.4,844.4,844.4,844.4,52543
1991-11-03,923.2,923.2,923.2,923.2,145326
1991-11-10,990.4,990.4,990.4,990.4,147129
1991-11-17,995.7,995.7,995.7,995.7,85897
1991-11-24,898.7,898.7,898.7,898.7,82486
1991-12-01,856.7,856.7,856.7,856.7,84286
1991-12-08,917.1,917.1,917.1,917.1,76462
1991-12-15,1001.9,1001.9,1001.9,1001.9,189231
1991-12-22,928,928,928,928,85
1992-01-05,919.1,919.1,919.1,919.1,108716
1992-01-12,974.9,974.9,964.1,964.1,110609
1992-01-19,930.8,930.8,915.1,915.1,91419
1992-01-26,947.3,952.7,947.3,952.7,87549
1992-02-02,933.3,937.4,933.3,937.4,55734
1992-02-09,935.1,935.1,901.3,901.3,117762
1992-02-16,936.7,936.7,919.8,919.8,208621
1992-02-23,923.4,932.6,923.4,932.6,342702
1992-03-01,941.6,941.6,925.4,925.4,300988
1992-03-08,947.9,956.6,947.9,956.6,380295
1992-03-15,952,955.4,952,955.4,347750
1992-03-22,920.5,939.2,920.5,939.2,472981
1992-03-29,934.9,934.9,913.1,913.1,1056696
1992-04-05,882.2,882.2,878.3,878.3,895690
1992-04-12,852.2,852.2,840.8,840.8,547372
1992-04-19,844.3,844.3,831.9,831.9,677799
1992-04-26,831.9,831.9,831.9,831.9,787677
1992-05-03,796.7,796.7,774.2,774.2,2218663
1992-05-10,761.3,768.1,761.3,768.1,1158864
1992-05-17,782.5,782.5,770.6,770.6,1532344
1992-05-24,747.3,748.7,747.3,748.7,1036125
1992-05-31,738.9,748.6,738.9,748.6,1316477
1992-06-07,746.7,746.7,723.2,723.2,1673069
1992-06-14,708,708,685.6,685.6,1059123
1992-06-21,671.2,671.2,671.2,671.2,459906
1992-06-28,635.3,660.3,635.3,660.3,1033593
1992-07-05,723.5,791.9,723.5,791.9,417910
1992-07-12,861.8,870.6,861.8,870.6,2656594
1992-07-19,839.7,853.9,839.7,853.9,1889782
1992-07-26,830.7,850.2,830.7,850.2,2630399
1992-08-02,846.2,846.2,841.2,841.2,2959568
1992-08-09,819.1,819.1,811.1,811.1,1777721
1992-08-16,814.2,814.2,812.7,812.7,1420848
1992-08-23,807.9,808.9,807.9,808.9,1468337
1992-08-30,819.3,850.4,819.3,850.4,2417023
1992-09-06,838.7,838.7,837.3,837.3,2025881
1992-09-13,828.2,828.2,826.4,826.4,2208216
1992-09-20,855.8,875.9,855.8,875.9,2412742
1992-09-27,877.3,888.1,877.3,888.1,2855293
1992-10-04,912.1,938,912.1,938,2690532
1992-10-11,931.9,931.9,903.8,903.8,2643239
1992-10-18,877.1,893,877.1,893,2739287
1992-10-25,932.1,953.1,932.1,953.1,3012329
1992-11-01,961.5,961.5,940.1,940.1,4508885
1992-11-08,925.7,942.5,925.7,942.5,2707870
1992-11-15,943.7,943.7,942.5,942.5,1699851
1992-11-22,958.2,962.2,958.2,962.2,1736316
1992-11-29,943,965.1,943,965.1,2198945
1992-12-06,1013.4,1059.6,1013.4,1059.6,2706053
1992-12-13,1070.1,1070.9,1070.1,1070.9,2664276
1992-12-20,1068.1,1068.1,1056.5,1056.5,2723523
1992-12-27,1041.6,1041.6,1041.6,1041.6,1406144
1993-01-03,1040.6,1040.6,1040.6,1040.6,999046
1993-01-10,1037,1058.1,1037,1058.1,2341206
1993-01-17,1073.4,1081.6,1073.4,1079.1,2728167
