Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-06-21,10000,10000,10000,10000
2019-06-24,10018.88,10018.88,10018.88,10018.88
2019-06-25,9956.7,9956.7,9956.7,9956.7
2019-06-26,9954.04,9954.04,9954.04,9954.04,3575990
2019-06-27,9972.01,9972.01,9972.01,9972.01,7185751
2019-06-28,10007.66,10007.66,10007.66,10007.66,4701056
2019-07-01,10102.68,10102.68,10102.68,10102.68,4931175
2019-07-02,10109.25,10109.25,10109.25,10109.25,4036807
2019-07-03,10117.14,10117.14,10117.14,10117.14,2685635
2019-07-04,10082.53,10082.53,10082.53,10082.53,1795569
2019-07-05,10068.72,10068.72,10068.72,10068.72,2659046
2019-07-08,10111.71,10111.71,10111.71,10111.71,2752432
2019-07-09,10046.29,10046.29,10046.29,10046.29,3313455
2019-07-10,10098.21,10098.21,10098.21,10098.21,4612913
2019-07-11,10087.28,10087.28,10087.28,10087.28,2661043
2019-07-12,10051.1,10051.1,10051.1,10051.1,2288864
2019-07-15,10088.96,10088.96,10088.96,10088.96,2212628
2019-07-16,10119.76,10119.76,10119.76,10119.76,2869799
2019-07-17,10067.23,10067.23,10067.23,10067.23,4172921
2019-07-18,10027.54,10027.54,10027.54,10027.54,2992438
2019-07-19,10131.07,10131.07,10131.07,10131.07,3343449
2019-07-22,10106.65,10106.65,10106.65,10106.65,3741552
2019-07-23,10101.79,10101.79,10101.79,10101.79,3091237
2019-07-24,10177.88,10177.88,10177.88,10177.88,2196840
2019-07-25,10092.16,10092.16,10092.16,10092.16,3780630
2019-07-26,10174.07,10174.07,10174.07,10174.07,2197119
2019-07-29,10107.08,10107.08,10107.08,10107.08,2124033
2019-07-30,10103.66,10103.66,10103.66,10103.66,3465439
2019-07-31,10164.28,10164.28,10164.28,10164.28,5366874
2019-08-01,10121.17,10121.17,10121.17,10121.17,4140210
2019-08-02,10109.31,10109.31,10109.31,10109.31,3226849
2019-08-05,9987.27,9987.27,9987.27,9987.27,3280768
2019-08-06,9944.25,9944.25,9944.25,9944.25,2883588
2019-08-07,9859.93,9859.93,9859.93,9859.93,3201950
2019-08-08,9901.84,9901.84,9901.84,9901.84,3464993
2019-08-09,9880.24,9880.24,9880.24,9880.24,2605246
2019-08-12,9784.97,9784.97,9784.97,9784.97,2722279
2019-08-13,9912.05,9912.05,9912.05,9912.05,4705288
2019-08-14,9843.49,9843.49,9843.49,9843.49,4196529
2019-08-16,9796.37,9796.37,9796.37,9796.37,7039918
2019-08-19,9920.4,9920.4,9920.4,9920.4,5469176
2019-08-20,9972.22,9972.22,9972.22,9972.22,3236030
2019-08-21,9949.69,9949.69,9949.69,9949.69,2577283
2019-08-22,9936.04,9936.04,9936.04,9936.04,2205384
2019-08-23,9917.52,9917.52,9917.52,9917.52,2390469
2019-08-26,9930.15,9930.15,9930.15,9930.15,2683413
2019-08-27,9995.06,9995.06,9995.06,9995.06,8467853
2019-08-28,9993.3,9993.3,9993.3,9993.3,4705708
2019-08-29,10116.19,10116.19,10116.19,10116.19,3780067
2019-08-30,10269.16,10269.16,10269.16,10269.16,6431695
2019-09-02,10263.38,10263.38,10263.38,10263.38,2241977
2019-09-03,10191.59,10191.59,10191.59,10191.59,3884806
2019-09-04,10152.1,10152.1,10152.1,10152.1,3098682
2019-09-05,9966.28,9966.28,9966.28,9966.28,8934554
2019-09-06,10042.81,10042.81,10042.81,10042.81,4547881
2019-09-09,10061.44,10061.44,10061.44,10061.44,4423633
2019-09-10,9959.62,9959.62,9959.62,9959.62,4231344
2019-09-11,9895.95,9895.95,9895.95,9895.95,3854617
2019-09-12,9866.97,9866.97,9866.97,9866.97,4285560
2019-09-13,9869.64,9869.64,9869.64,9869.64,3577314
2019-09-16,9882.36,9882.36,9882.36,9882.36
