Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-06-23,10000,10000,10000,10000
2019-06-30,10018.88,10018.88,9954.04,10007.66,15462797
2019-07-07,10102.68,10117.14,10068.72,10068.72,16108232
2019-07-14,10111.71,10111.71,10046.29,10051.1,15628707
2019-07-21,10088.96,10131.07,10027.54,10131.07,15591235
2019-07-28,10106.65,10177.88,10092.16,10174.07,15007378
2019-08-04,10107.08,10164.28,10103.66,10109.31,18323405
2019-08-11,9987.27,9987.27,9859.93,9880.24,15436545
2019-08-18,9784.97,9912.05,9784.97,9796.37,18664014
2019-08-25,9920.4,9972.22,9917.52,9917.52,15878342
2019-09-01,9930.15,10269.16,9930.15,10269.16,26068736
2019-09-08,10263.38,10263.38,9966.28,10042.81,22707900
2019-09-15,10061.44,10061.44,9866.97,9869.64,20372468
2019-09-22,9882.36,9924.41,9759.26,9759.26,19411797
2019-09-29,9701.82,9768.41,9670.51,9751.94,18040108
2019-10-06,9683.35,9683.35,9492.39,9614.18,17704396
2019-10-13,9632.12,9780.42,9628.59,9659.14,13290801
2019-10-20,9810.29,9810.29,9719.44,9726.72,18827098
2019-10-27,9741.79,9792.43,9684.75,9792.43,15380030
2019-11-03,9839.91,9907.88,9839.91,9870.03,14188159
2019-11-10,10024.46,10032.54,9974.82,10032.54,26635275
2019-11-17,10056.5,10159.37,10056.5,10159.37,24762128
2019-11-24,10253.93,10269.57,10211.6,10269.43,23322270
2019-12-01,10293.61,10320.15,10247.27,10278.18,21583384
2019-12-08,10338.28,10510.23,10258.28,10477.54,19328125
2019-12-15,10496.4,10650.62,10494.1,10650.62,17410296
2019-12-22,10693.01,10877.03,10693.01,10836.77,34849298
2019-12-29,10844.41,10918.74,10844.41,10918.74,5502192
2020-01-05,10983.23,11106.83,10983.23,11054.59,9818203
2020-01-12,11142.82,11358.41,11100.24,11358.41,15043998
2020-01-19,11384.65,11531.04,11351.79,11456.33,33371663
2020-01-26,11643.87,11643.87,11554.57,11573.81,24522748
2020-02-02,11351.29,11503.14,11351.29,11402.26,24013740
2020-02-09,11510.79,11742.16,11510.79,11691.75,21170981
2020-02-16,11745.05,11932.36,11745.05,11932.36,23645282
2020-02-23,12088.51,12276.39,12088.51,12266.49,18689594
2020-03-01,11862.81,11862.81,10769.53,10769.53,37797541
2020-03-08,11024.16,11401.53,11024.16,11225.85,33968636
2020-03-15,10433.13,10433.13,8705.49,9091.97,43142823
2020-03-22,9432.52,10312.31,9432.52,10198.18,53853484
2020-03-29,9853.79,10321.47,9853.79,10321.47,41928061
2020-04-05,10290.03,10543.18,10290.03,10543.18,29375104
2020-04-12,10996.22,11372.97,10752.07,11372.97,20584282
2020-04-19,11629.05,11716.19,11474.06,11716.19,31217259
2020-04-26,11972.22,12222.38,11729.28,12121.07,28698818
2020-05-03,12402.04,12594.13,12321.74,12594.13,24883637
2020-05-10,12436.29,12654.97,12436.29,12654.97,17889624
2020-05-17,12656.04,12877.75,12627.05,12666.22,19520116
2020-05-24,12887.55,13041.5,12887.55,13023.16,25991896
2020-05-31,13246.23,13285.67,12926.05,13285.67,39033477
2020-06-07,13417.34,13439.53,13342.34,13439.53,32536243
2020-06-14,13217.19,13570.32,13217.19,13321.98,19882507
2020-06-21,13153.76,13696.53,13153.76,13696.53,22279599
2020-06-28,14015.14,14117.55,13947.65,14059.56,62664002
2020-07-05,13888.81,14347.14,13612.32,14347.14,29138370
2020-07-12,14536.61,14536.61,14278.92,14278.92,43119594
2020-07-19,14380.53,14745.3,14210.12,14745.3,65389853
2020-07-26,14955.29,14955.29,14614.36,14614.36,46089138
2020-08-02,14842.04,14842.04,14414.49,14659.76,47952426
2020-08-09,14881.68,15103.61,14881.68,15038.06,24020007
2020-08-16,15087.19,15087.19,14939.67,15025.76,26921989
2020-08-23,15220.51,15327.55,15166.52,15174.01,15526501
2020-08-30,15174.03,15218.18,15009.69,15139.22,19750007
2020-09-06,15038.65,15038.65,14681.57,14681.57,24701047
2020-09-13,14740.16,14740.16,14448.97,14595.66,21213294
2020-09-20,14482.94,14482.94,14243.09,14420.21,23258337
2020-09-27,14704.25,14831.75,14701.5,14800.37,60047206
2020-10-04,15043.36,15107.62,14908.43,14989.33,30306193
2020-10-11,15091.51,15091.51,14827.82,14827.82,31550670
2020-10-18,14924.97,15125.13,14759.12,15051.13,36709854
2020-10-25,15142.62,15153.76,14774.38,14774.38,28624429
2020-11-01,14690.12,14690.12,14144.25,14144.25,35064584
2020-11-08,14357.8,15043.74,14357.8,15043.74,31568925
2020-11-15,15033.27,15033.27,14762.55,14762.55,30882922
2020-11-22,14793.48,14892.68,14681.32,14880.79,20209762
2020-11-29,14914.45,14914.45,14738.96,14768.02,22679380
2020-12-06,14772.41,15137.29,14596.24,15134.46,32687238
2020-12-13,15157.76,15203.36,14425.79,14484.37,34928672
2020-12-20,14507.52,14833.5,14133.52,14432.11,37254057
2020-12-27,14416.54,14483.76,14139.88,14474.14,15548047
2021-01-03,14518.18,15019.58,14518.18,14953.11,18755131
2021-01-10,14988.37,15199.93,14981.59,15144.32,26751094
2021-01-17,15139.59,15319.91,14799.02,14857.11,29792774
2021-01-24,14925.57,15150.92,14800.34,14974.15,24098122
2021-01-31,14995.04,15397.18,14910.95,15170.64,43541814
2021-02-07,15218.07,15242.75,14995.32,15161.97,26640883
2021-02-14,15204.69,15436.6,15067.49,15436.6,16393930
2021-02-21,15444.88,15740.96,15234.17,15255.02,26943907
2021-02-28,15240.13,15240.13,14702.36,14895.19,35951532
2021-03-07,14917.86,15231.81,14807.42,14841.75,35260162
2021-03-14,14890.47,15109.31,14830.77,15064.54,22561492
2021-03-21,15130.71,15277.79,14887.57,15132.06,30125384
2021-03-28,15162.73,15264.19,15004.71,15163.75,17780600
2021-04-04,15210.27,15568.25,15133.8,15256.48,22442361
2021-04-11,15347.96,15528.4,15311.83,15493.27,18650926
2021-04-18,15526.52,15637.15,15380.46,15446.92,22970813
2021-04-25,15480.81,15618,15027.23,15158.04,22788821
2021-05-02,15189.71,15189.71,14932.31,14990.54,17645044
2021-05-09,14981.42,14981.42,14426.6,14590.02,16309313
2021-05-16,14645.51,14685.07,14199.12,14472.24,18219532
2021-05-23,14478.41,14771.95,14327.72,14608,18574098
2021-05-30,14618.14,14932.77,14557.66,14880.67,34500320
2021-06-06,14914.66,14987.91,14658.15,14936.96,16299936
2021-06-13,14933.13,15188.45,14920.36,15121.9,36607789
2021-06-20,15128.06,15298.09,14838.69,15014.76,28418480
2021-06-27,15037.5,15382.3,14868.59,15328.37,17951769
2021-07-04,15352.94,15787.43,15286.16,15780.19,21147650
2021-07-11,15812.52,15895.71,15708.9,15757.02,19398656
2021-07-18,15770.06,16144.34,15752.36,16014.17,10922388
2021-07-25,16031.76,16048.28,15608.21,15982.89,13462280
2021-08-01,15985.09,16053.21,15808.39,16053.21,17615930
2021-08-08,16086.19,16098.07,15782.3,15918.44,12694460
2021-08-15,15901.61,15916.09,15748.3,15851.82,11293567
2021-08-22,15820.05,15873.51,15632.16,15751.35,16779737
2021-08-29,15773.34,15987.68,15636.32,15970.68,13227517
2021-09-05,16005.41,16284.69,15873.68,16082.51,22547333
2021-09-12,16109.94,16236.27,15816.92,15890.81,12579129
2021-09-19,15955.26,16307.91,15921.38,16180.56,20575803
2021-09-26,16127.1,16152.64,15747.8,15906.5,16294634
2021-10-03,15914.79,16126.26,15736.92,15925.03,17466924
2021-10-10,15988.42,16227.81,15869.99,16220.67,19953340
2021-10-17,16193.14,16376.92,16013.54,16074.92,22846631
2021-10-24,16069.35,16292.22,16032.86,16085.58,22111932
2021-10-31,16139.12,16220.17,15778.17,15861.15,18190856
2021-11-07,15903.05,15946.87,15627.58,15905,17641361
2021-11-14,15889.04,15941.41,15627.44,15870.42,23357155
2021-11-21,15914.84,16090,15799.1,15947.86,23398285
2021-11-28,16002.31,16148.6,15402.48,15624.62,22785338
2021-12-05,15663.56,15739.54,15375.81,15452.14,30936514
2021-12-12,15476.7,15641.93,15329.23,15352.8,16310218
2021-12-19,15334.53,15514.51,15164.74,15221.29,28904549
2021-12-26,15151.46,15563.75,15142.64,15546.24,14710412
2022-01-02,15559.08,15741.63,15408.13,15606.19,17536839
2022-01-09,15749.46,16049.11,15731.66,15791.54,13488481
2022-01-16,15865.38,15939.94,15635.52,15690.37,24778410
2022-01-23,15723.78,15762.32,15074.25,15153.47,22721887
2022-01-30,15106.63,15106.63,14175.21,14186.53,23703348
2022-02-06,14290.23,14600.86,14270.04,14315.35,15228803
2022-02-13,14399.96,14524.68,14087.56,14201.81,15384670
2022-02-20,14017.26,14290.8,13718.92,13894.61,22256341
2022-02-27,13980.76,13980.76,12092.74,13234.69,32772692
2022-03-06,12998.35,13464.69,12720.42,12820.56,36195973
2022-03-13,12619.32,13394.04,12414.48,13394.04,28806327
